artist,chart_position,count,country,production_house,title
Lil Nas X Featuring Billy Ray Cyrus,1,,,,Old Town Road
Post Malone & Swae Lee,2,,,,Sunflower (Spider-Man: Into The Spider-Verse)
Ariana Grande,3,,,,7 Rings
Post Malone,4,,,,Wow.
Halsey,5,,,,Without Me
Cardi B & Bruno Mars,6,,,,Please Me
Billie Eilish,7,,,,Bad Guy
Jonas Brothers,8,,,,Sucker
Marshmello & Bastille,9,,,,Happier
J. Cole,10,,,,Middle Child
Lady Gaga & Bradley Cooper,11,,,,Shallow
"benny blanco, Halsey & Khalid",12,,,,Eastside
Blueface,13,,,,Thotiana
Meek Mill Featuring Drake,14,,,,Going Bad
Sam Smith & Normani,15,,,,Dancing With A Stranger
Khalid,16,,,,Better
Panic! At The Disco,17,,,,High Hopes
Ariana Grande,18,,,,"Break Up With Your Girlfriend, I'm Bored"
Ava Max,19,,,,Sweet But Psycho
Travis Scott,20,,,,Sicko Mode
YNW Melly,21,,,,Murder On My Mind
21 Savage,22,,,,A Lot
Maroon 5 Featuring Cardi B,23,,,,Girls Like You
Ariana Grande,24,,,,"Thank U, Next"
Billie Eilish,25,,,,Bury A Friend
Luke Combs,26,,,,Beautiful Crazy
Ellie Goulding X Diplo Featuring Swae Lee,27,,,,Close To Me
Dean Lewis,28,,,,Be Alright
Billie Eilish,29,,,,When The Party's Over
Lil Baby & Gunna,30,,,,Drip Too Hard
Billie Eilish,31,,,,Wish You Were Gay
Lauren Daigle,32,,,,You Say
Mustard & Migos,33,,,,Pure Water
Post Malone,34,,,,Better Now
Billie Eilish,35,,,,Xanny
Cardi B,36,,,,Money
A Boogie Wit da Hoodie,37,,,,Look Back At It
Calboy,38,,,,Envy Me
Khalid,39,,,,Talk
5 Seconds Of Summer,40,,,,Youngblood
Billie Eilish,41,,,,You Should See Me In A Crown
Pinkfong,42,,,,Baby Shark
Billie Eilish,43,,,,My Strange Addiction
Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,44,,,,Racks In The Middle
Bad Bunny Featuring Drake,45,,,,MIA
Billie Eilish,46,,,,All The Good Girls Go To Hell
City Girls,47,,,,Act Up
Juice WRLD,48,,,,Robbery
Kodak Black Featuring Travis Scott & Offset,49,,,,ZEZE
Dan + Shay,50,,,,Tequila
Brett Young,51,,,,Here Tonight
A Boogie Wit da Hoodie Featuring 6ix9ine,52,,,,Swervin
Billie Eilish,53,,,,I Love You
YNW Melly Featuring Kanye West,54,,,,Mixed Personalities
Marshmello Featuring CHVRCHES,55,,,,Here With Me
The Chainsmokers Featuring 5 Seconds Of Summer,56,,,,Who Do You Love
Yo Gotti Featuring Lil Baby,57,,,,Put A Date On It
Daddy Yankee & Katy Perry Featuring Snow,58,,,,Con Calma
Blake Shelton,59,,,,God's Country
YK Osiris,60,,,,Worth It
Chase Rice,61,,,,Eyes On You
Billie Eilish,62,,,,Ilomilo
Billie Eilish,63,,,,Listen Before I Go
Lil Baby,64,,,,Close Friends
Nipsey Hussle Featuring Belly & DOM KENNEDY,65,,,,Double Up
Imagine Dragons,66,,,,Bad Liar
Morgan Wallen,67,,,,Whiskey Glasses
Kane Brown,68,,,,Good As You
Michael Ray,69,,,,One That Got Away
Ariana Grande & Victoria Monet,70,,,,Monopoly
Kelsea Ballerini,71,,,,Miss Me More
Ella Mai,72,,,,Shot Clock
Old Dominion,73,,,,Make It Sweet
Thomas Rhett,74,,,,Look What God Gave Her
Riley Green,75,,,,There Was This Girl
Summer Walker X Drake,76,,,,Girls Need Love
FLETCHER,77,,,,Undrunk
Lil Peep & iLoveMakonnen Featuring Fall Out Boy,78,,,,I've Been Waiting
Billie Eilish,79,,,,8
P!nk,80,,,,Walk Me Home
Khalid & Kane Brown,81,,,,Saturday Nights
Nipsey Hussle Featuring YG,82,,,,Last Time That I Checc'd
City Girls Featuring Cardi B,83,,,,Twerk
Maren Morris,84,,,,GIRL
Billie Eilish & Khalid,85,,,,Lovely
Pedro Capo X Farruko,86,,,,Calma
DaBaby,87,,,,Suge
Jon Pardi,88,,,,Night Shift
Scotty McCreery,89,,,,This Is It
Lee Brice,90,,,,Rumor
"benny blanco, Tainy, Selena Gomez & J Balvin",91,,,,I Can't Get Enough
Mabel,92,,,,Don't Call Me Up
Nipsey Hussle Featuring Kendrick Lamar,93,,,,Dedication
Billie Eilish,94,,,,Ocean Eyes
Chris Stapleton,95,,,,Millionaire
Florida Georgia Line,96,,,,Talk You Out Of It
Ski Mask The Slump God,97,,,,Faucet Failure
Jason Aldean,98,,,,Girl Like You
Lil Baby,99,,,,Pure Cocaine
Polo G Featuring Lil Tjay,100,,,,Pop Out
