artist,chart_position,production_house,title
"When We All Fall Asleep, Where Do We Go",1,Universal,Billie Eilish
Meidän Tulevat Päivät,2,Wm Finland/warner Music,Lauri Tähkä
"Thank U, Next",3,Republic Records/universal Music Group,Ariana Grande
Ville Valo & Agents,4,Vallila Music House,Ville Valo & Agents
Toinen Nainen,5,Emi Capitol,Jannika B
Sos,6,Universal,Evelina
Free Spirit,7,"Right Hand Music Group, Llc/rc/sony Bmg Music Entertainment",Khalid
Tapa Poika,8,Johanna Kustannus,Pyhimys
Dont Smile At Me,9,Universal Music Oy,Billie Eilish
Cara Mia,10,Pme Records/pme Records (Pinnacle Helsinki,Reino Nordin
A Star Is Born,11,Universal,Elokuvamusiikki
Simba,12,Liiga Music,Lukas Leon
Nää Kaikki Kertoo Susta,13,Wm Finland/warner Music,Ida Paul & Kalle Lindroth
Different World,14,Sony,Alan Walker
Jano,15,Johanna Kustannus,Gasellit
No More Hollywood Endings,16,Nuclear Blast/bertus,Battle Beast
Lohtulauseita,17,Etenee Records / Warner Music Group,Vesta
Narrated For You,18,2018/warner Music Group,Alec Benjamin
From Hell With Love,19,Nuclear Blast/bertus,Beast In Black
Tulva,20,Universal,Vilma Alina
Beerbongs & Bentleys,21,Universal Records/universal Music Group,Post Malone
Nälkäinen Sydän,22,Emi/capitol,Anna Puu
Popkorni,23,PME Records/Warner Music Group,JVG
Ibelius,24,Skorpioni,IBE
Syntheosis,25,Svart Records,Waste Of Space Orchestra
Ääripäät,26,Universal/,Mikael Gabriel
Timantit On Ikuisia,27,Liiga Music / Wm Finland,Cheek
Hoodie Szn,28,Highbridge The Label / Atlanti/warner Music Group,A Boogie Wit Da Hoodie
Pieniä Taikoja,29,Kaiku Recordings,Juha Tapio
Hexed,30,Nuclear Blast/bertus,Children of Bodom
÷,31,Atlantic Records Uk,Ed Sheeran
Iskelmägaala 2019,32,Wm Finland/warner Music Group,Various Artists
Kamikaze,33,Umgri Interscope/universal Music Group,Eminem
17,34,Bad Vibes Forever / Empire/empire Distribution Inc.,Xxxtentacion
Saattaa Olla Ninja,35,Katakombi/sony/,Eevil Stöö X Koksu Koo
Come Over When You're Sober Pt.2,36,Sony,Lil Peep
Monologi,37,Wm Finland/warner Music,Jenni Vartiainen
Come Over When You're Sober (Part One),38,Wm Sweden/the Warner Music Group,Lil Peep
Circus,39,Johanna Kustannus Oy/universal Music International,Teflon Brothers
Periphery Iv: Hail Stan,40,Sony,Periphery
"I, The Mask",41,Nuclear Blast/bertus,In Flames
Death Race For Love,42,Grade A Productions/interscope/universal Music Group,Juice Wrld
Gyl Maar,43,Mökkitie Records/sony Bmg Music Entertainment,Hesaäijä
Ootsä Nähnyt Nikkee,44,Universal/,Nikke Ankara
Pray For The Wicked,45,Dcd2 / Fueled By Ramen/warner Music Group,PANIC! At The Disco
Goodbye & Good Riddance,46,Juice Wrld Mixtape / Isr P&d/universal Music Group,Juice Wrld
?,47,"Bad Vibes Forever, Llc",Xxxtentacion
Empath,48,Sony,Devin Townsend
Anatude,49,Wm Finland/the Warner Music Group,Antti Tuisku
A Place We Knew,50,Universal Music Australia Pty./universal Music Group,Dean Lewis
